longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
-73.93325,2.0,4.0,1.0,0.0,125
-73.91492,2.0,19.0,1.0,198.0,75
-73.95517,1.0,0.0,3.0,330.0,100
-73.96034,3.0,18.0,1.0,0.0,130
-73.87463,1.0,4.0,1.0,0.0,100
-73.97279,3.0,1.0,1.0,125.0,270
-73.95702,7.0,6.0,1.0,0.0,48
-73.99498,2.0,123.0,3.0,59.0,130
-73.94185,3.0,0.0,1.0,0.0,200
-73.95244,1.0,2.0,1.0,249.0,43
-73.90204,1.0,0.0,1.0,83.0,60
-73.93142,4.0,34.0,2.0,340.0,130
-74.00606,2.0,11.0,1.0,0.0,275
-73.83752,1.0,22.0,1.0,130.0,79
-73.9172,1.0,22.0,2.0,236.0,48
-73.94848,3.0,38.0,3.0,302.0,450
-73.99597,3.0,4.0,1.0,108.0,639
-73.93108,2.0,9.0,1.0,0.0,40
-73.92496,1.0,4.0,1.0,71.0,51
-74.01153,3.0,5.0,1.0,281.0,52
-73.92172,1.0,6.0,2.0,323.0,65
-74.00313,30.0,0.0,65.0,326.0,188
-73.96439,1.0,3.0,1.0,0.0,120
-73.83928,2.0,35.0,5.0,235.0,58
-73.97833,14.0,1.0,2.0,0.0,60
-73.99331,2.0,30.0,3.0,3.0,115
-74.01798,1.0,0.0,1.0,43.0,199
-73.96478,5.0,4.0,1.0,0.0,290
-73.99762,30.0,2.0,121.0,365.0,275
-73.95564,1.0,4.0,1.0,341.0,60
-74.00552,1.0,1.0,7.0,350.0,60
-73.89163,1.0,57.0,2.0,295.0,50
-73.94893,1.0,5.0,1.0,0.0,75
-73.94307,1.0,15.0,1.0,16.0,82
-73.81867,1.0,144.0,2.0,134.0,150
-73.96283,3.0,48.0,1.0,0.0,99
-73.96736,3.0,4.0,1.0,0.0,65
-73.96066,3.0,4.0,1.0,69.0,100
-73.89873,4.0,121.0,2.0,33.0,72
-73.93087,2.0,6.0,1.0,29.0,50
-73.94822,5.0,42.0,3.0,63.0,81
-73.9262,2.0,5.0,2.0,0.0,120
-73.93369,3.0,0.0,2.0,0.0,95
-73.99487,3.0,17.0,1.0,0.0,119
-73.9796,4.0,0.0,1.0,78.0,220
-73.9958,1.0,71.0,3.0,91.0,122
-73.99539,30.0,8.0,47.0,351.0,55
-73.96114,30.0,25.0,3.0,342.0,218
-73.97092,12.0,4.0,1.0,118.0,150
-73.95981,2.0,51.0,1.0,147.0,212
-73.94736,4.0,153.0,2.0,125.0,69
-73.98233,2.0,18.0,1.0,0.0,150
-73.98568,70.0,3.0,1.0,0.0,70
-74.00307,3.0,73.0,1.0,44.0,235
-73.91689,30.0,1.0,1.0,6.0,78
-73.94357,6.0,5.0,1.0,40.0,150
-73.97456,1.0,24.0,2.0,72.0,89
-74.00378,1.0,0.0,1.0,0.0,200
-73.93656,5.0,82.0,1.0,0.0,175
-73.94977,1.0,160.0,1.0,319.0,80
-73.91836,3.0,22.0,2.0,0.0,50
-73.94286,3.0,30.0,1.0,159.0,150
-73.95808,2.0,0.0,1.0,0.0,75
-73.99995,2.0,35.0,1.0,6.0,100
-73.96592,1.0,1.0,2.0,363.0,50
-73.98397,2.0,21.0,1.0,272.0,135
-73.94063,30.0,3.0,34.0,311.0,65
-73.92756,7.0,1.0,1.0,179.0,50
-73.99431,3.0,1.0,1.0,5.0,390
-73.9756,1.0,10.0,1.0,0.0,95
-73.92417,14.0,0.0,1.0,31.0,52
-73.93729,2.0,46.0,1.0,19.0,162
-73.92183,5.0,46.0,1.0,174.0,45
-74.02786,1.0,0.0,2.0,179.0,79
-73.95639,9.0,7.0,1.0,0.0,60
-73.99487,3.0,164.0,1.0,27.0,76
-73.9624,1.0,280.0,1.0,246.0,99
-73.93764,2.0,3.0,1.0,0.0,45
-73.88284,2.0,13.0,1.0,288.0,144
-73.99364,30.0,4.0,20.0,272.0,130
-73.95762,1.0,1.0,1.0,0.0,89
-73.95236,2.0,8.0,1.0,0.0,125
-73.93761,1.0,34.0,3.0,75.0,40
-73.92695,31.0,1.0,2.0,155.0,120
-74.00333,3.0,1.0,1.0,52.0,160
-73.91689,3.0,10.0,1.0,88.0,85
-73.98699,35.0,0.0,1.0,0.0,85
-73.9421,1.0,0.0,1.0,0.0,80
-73.91445,1.0,57.0,1.0,48.0,65
-73.9784,30.0,6.0,1.0,135.0,220
-73.91488,1.0,11.0,4.0,347.0,75
-73.95256,2.0,5.0,2.0,0.0,65
-73.99497,5.0,1.0,1.0,0.0,350
-73.99823,30.0,0.0,18.0,146.0,499
-73.95296,2.0,5.0,1.0,0.0,142
-73.9575,2.0,2.0,1.0,0.0,116
-73.85799,2.0,12.0,2.0,19.0,60
-73.95819,1.0,2.0,2.0,0.0,85
-73.97252,3.0,0.0,1.0,0.0,150
-73.96687,2.0,1.0,1.0,0.0,69
-73.92266,30.0,0.0,1.0,0.0,70
-73.94353,1.0,0.0,1.0,0.0,100
-73.95193,31.0,4.0,33.0,299.0,190
-73.95796,2.0,5.0,1.0,0.0,99
-73.90374,1.0,14.0,1.0,272.0,50
-73.97767,7.0,1.0,1.0,0.0,100
-73.73283,1.0,89.0,3.0,356.0,84
-73.94247,2.0,2.0,1.0,0.0,85
-73.96348,3.0,9.0,1.0,0.0,100
-73.95572,2.0,13.0,1.0,160.0,150
-73.95018,10.0,3.0,1.0,0.0,80
-73.92332,1.0,27.0,9.0,363.0,50
-73.93258,2.0,5.0,3.0,4.0,65
-73.9498,2.0,4.0,1.0,0.0,160
-73.99311,2.0,13.0,1.0,0.0,149
-73.98982,1.0,54.0,1.0,341.0,125
-73.98497,1.0,2.0,1.0,301.0,890
-73.91696,7.0,0.0,1.0,254.0,69
-73.95403,1.0,62.0,2.0,258.0,79
-73.93875,2.0,0.0,1.0,3.0,115
-73.99247,3.0,4.0,1.0,5.0,180
-73.95859,1.0,2.0,1.0,0.0,70
-73.90037,2.0,21.0,5.0,125.0,57
-73.96031,3.0,57.0,1.0,93.0,199
-73.96598,1.0,5.0,1.0,0.0,75
-73.94242,3.0,0.0,1.0,0.0,65
-73.98336,3.0,0.0,1.0,0.0,250
-73.97316,2.0,1.0,1.0,0.0,102
-73.89632,14.0,11.0,1.0,332.0,75
-73.96106,3.0,5.0,1.0,320.0,550
-74.01054,2.0,1.0,1.0,363.0,500
-74.0021,1.0,94.0,1.0,187.0,190
-73.94768,30.0,4.0,4.0,301.0,110
-74.01775,1.0,1.0,7.0,339.0,100
-74.00991,2.0,41.0,1.0,3.0,52
-73.94584,2.0,88.0,1.0,223.0,250
-73.98275,2.0,41.0,1.0,242.0,175
-73.99531,1.0,78.0,5.0,365.0,150
-73.94582,5.0,0.0,1.0,0.0,99
-73.95875,3.0,0.0,2.0,0.0,125
-73.96303,2.0,1.0,1.0,0.0,70
-73.95835,14.0,0.0,1.0,0.0,49
-73.9541,2.0,5.0,1.0,0.0,200
-73.93905,1.0,12.0,1.0,0.0,49
-73.96128,2.0,5.0,2.0,365.0,75
-73.98156,30.0,1.0,121.0,351.0,239
-73.90799,2.0,0.0,1.0,35.0,55
-73.91693,1.0,5.0,2.0,0.0,55
-73.94351,3.0,89.0,1.0,66.0,55
-74.00265,4.0,6.0,1.0,0.0,110
